Year,Beijing,Guangzhou,Shanghai,Sichuan,Shandong,Seoul,Incheon,Daejeon,Daegu,Busan
1990,-0.808219178,-0.802739726,-0.84109589,-0.802739726,-0.775342466,-0.863013699,-0.84109589,-0.780821918,-0.989041096,-1
1991,-0.78630137,-0.797260274,-0.846575342,-0.857534247,-0.830136986,-0.81369863,-0.808219178,-0.726027397,-0.989041096,-0.956164384
1992,-0.825136612,-0.808743169,-0.770491803,-0.863387978,-0.825136612,-0.857923497,-0.808743169,-0.765027322,-0.994535519,-0.983606557
1993,-0.769863014,-0.802739726,-0.78630137,-0.791780822,-0.753424658,-0.791780822,-0.81369863,-0.769863014,-1,-0.983561644
1994,-0.835616438,-0.775342466,-0.84109589,-0.802739726,-0.824657534,-0.819178082,-0.753424658,-0.84109589,-0.978082192,-0.989041096
1995,-0.824657534,-0.802739726,-0.819178082,-0.797260274,-0.747945205,-0.857534247,-0.863013699,-0.830136986,-0.994520548,-0.934246575
1996,-0.792349727,-0.786885246,-0.786885246,-0.765027322,-0.852459016,-0.792349727,-0.786885246,-0.786885246,-0.989071038,-0.945355191
1997,-0.797260274,-0.791780822,-0.775342466,-0.835616438,-0.84109589,-0.868493151,-0.769863014,-0.753424658,-0.989041096,-1
1998,-0.769863014,-0.802739726,-0.791780822,-0.764383562,-0.846575342,-0.846575342,-0.753424658,-0.819178082,-0.978082192,-0.989041096
1999,-0.819178082,-0.819178082,-0.742465753,-0.835616438,-0.736986301,-0.75890411,-0.830136986,-0.81369863,-0.967123288,-0.978082192
2000,-0.803278689,-0.797814208,-0.781420765,-0.803278689,-0.830601093,-0.781420765,-0.786885246,-0.786885246,-0.978142077,-1
2001,-0.802739726,-0.846575342,-0.81369863,-0.769863014,-0.797260274,-0.742465753,-0.736986301,-0.824657534,-0.989041096,-1
2002,-0.759562842,-0.879452055,-0.780821918,-0.81420765,-0.780821918,-0.780821918,-0.819178082,-0.830601093,-0.983606557,-0.994520548
2003,-0.81369863,-0.802739726,-0.81369863,-0.791780822,-0.791780822,-0.797260274,-0.775342466,-0.802739726,-0.983561644,-0.989041096
2004,-0.775956284,-0.737704918,-0.803278689,-0.803278689,-0.754098361,-0.846994536,-0.830601093,-0.737704918,-0.994535519,-0.972677596
2005,-0.857534247,-0.835616438,-0.808219178,-0.775342466,-0.764383562,-0.75890411,-0.824657534,-0.84109589,-0.983561644,-0.939726027
2006,-0.808219178,-0.791780822,-0.824657534,-0.769863014,-0.819178082,-0.791780822,-0.81369863,-0.764383562,-0.989041096,-0.978082192
2007,-0.819178082,-0.726027397,-0.791780822,-0.780821918,-0.824657534,-0.753424658,-0.824657534,-0.819178082,-0.989041096,-0.978082192
2008,-0.836065574,-0.765027322,-0.825136612,-0.825136612,-0.852459016,-0.754098361,-0.781420765,-0.863387978,-0.978142077,-0.967213115
2009,-0.720547945,-0.824657534,-0.78630137,-0.84109589,-0.775342466,-0.78630137,-0.824657534,-0.769863014,-0.97260274,-0.950684932
2010,-0.78630137,-0.769863014,-0.824657534,-0.764383562,-0.764383562,-0.693150685,-0.775342466,-0.830136986,-0.978082192,-0.97260274
2011,-0.830136986,-0.753424658,-0.75890411,-0.780821918,-0.819178082,-0.791780822,-0.84109589,-0.808219178,-0.961643836,-0.983561644
2012,-0.797814208,-0.830601093,-0.781420765,-0.792349727,-0.819672131,-0.775956284,-0.868852459,-0.830601093,-0.978142077,-1
2013,-0.863013699,-0.78630137,-0.808219178,-0.731506849,-0.808219178,-0.819178082,-0.824657534,-0.830136986,-0.956164384,-0.961643836
2014,-0.769863014,-0.780821918,-0.791780822,-0.824657534,-0.81369863,-0.797260274,-0.808219178,-0.791780822,-0.983561644,-1
2015,-0.808219178,-0.868493151,-0.78630137,-0.846575342,-0.78630137,-0.78630137,-0.709589041,-0.75890411,-1,-1
2016,-0.803278689,-0.846994536,-0.841530055,-0.770491803,-0.775956284,-0.825136612,-0.786885246,-0.792349727,0.327868852,0.153005464
2017,-0.830136986,-0.824657534,-0.808219178,-0.81369863,-0.802739726,-0.81369863,-0.797260274,-0.879452055,0.391780822,0.216438356
2018,-0.81369863,-0.764383562,-0.780821918,-0.830136986,-0.797260274,-0.852054795,-0.742465753,-0.81369863,0.364383562,0.090410959
2019,-0.791780822,-0.78630137,-0.78630137,-0.753424658,-0.797260274,-0.81369863,-0.797260274,-0.802739726,0.353424658,0.052054795